category,turns,expect
v53_ficha_tecnica_karina,hola buenas tardes || de pura casualidad manejas velluto? || qué composición tiene velluto?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || no tendrás comfy mini? || cuántos metros trae comfy mini?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || manejara el comfy plus? || cuántos gramos trae comfy plus?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || vendes kurumi? || me sirve kurumi para un amigurumi?,"{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,qué tal buen día || tendras por ahi cotton milk? || me sirve cotton milk para un elefante?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,"hola, perdón la molestia || de pura casualidad manejas belluto? || con qué gancho se teje belluto?","{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,hola buenas tardes || no tendrás komfy mini? || de qué está hecho komfy mini?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || manejara el komfi plus? || qué composición tiene komfi plus?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || vendes kurumi? || cuántos metros trae kurumi?,"{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || tendras por ahi kotton milk? || cuántos gramos trae kotton milk?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,qué tal buen día || de pura casualidad manejas veluto? || me sirve veluto para un amigurumi?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,"hola, perdón la molestia || no tendrás komfi mini? || me sirve komfi mini para un elefante?","{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,hola buenas tardes || manejara el komfy plus? || con qué gancho se teje komfy plus?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || vendes kurumi? || de qué está hecho kurumi?,"{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || tendras por ahi koton milk? || qué composición tiene koton milk?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || de pura casualidad manejas velluto? || cuántos metros trae velluto?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,qué tal buen día || no tendrás konfy mini? || cuántos gramos trae konfy mini?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,"hola, perdón la molestia || manejara el comfy plus? || me sirve comfy plus para un amigurumi?","{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,hola buenas tardes || vendes kurumi? || me sirve kurumi para un elefante?,"{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || tendras por ahi cotton milk? || con qué gancho se teje cotton milk?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || de pura casualidad manejas belluto? || de qué está hecho belluto?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || no tendrás comfy mini? || qué composición tiene comfy mini?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,qué tal buen día || manejara el komfi plus? || cuántos metros trae komfi plus?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,"hola, perdón la molestia || vendes kurumi? || cuántos gramos trae kurumi?","{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,hola buenas tardes || tendras por ahi kotton milk? || me sirve kotton milk para un amigurumi?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || de pura casualidad manejas veluto? || me sirve veluto para un elefante?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || no tendrás komfy mini? || con qué gancho se teje komfy mini?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || manejara el komfy plus? || de qué está hecho komfy plus?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,qué tal buen día || vendes kurumi? || qué composición tiene kurumi?,"{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,"hola, perdón la molestia || tendras por ahi koton milk? || cuántos metros trae koton milk?","{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,hola buenas tardes || de pura casualidad manejas velluto? || cuántos gramos trae velluto?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || no tendrás komfi mini? || me sirve komfi mini para un amigurumi?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || manejara el comfy plus? || me sirve comfy plus para un elefante?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || vendes kurumi? || con qué gancho se teje kurumi?,"{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,qué tal buen día || tendras por ahi cotton milk? || de qué está hecho cotton milk?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,"hola, perdón la molestia || de pura casualidad manejas belluto? || qué composición tiene belluto?","{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,hola buenas tardes || no tendrás konfy mini? || cuántos metros trae konfy mini?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || manejara el komfi plus? || cuántos gramos trae komfi plus?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || vendes kurumi? || me sirve kurumi para un amigurumi?,"{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || tendras por ahi kotton milk? || me sirve kotton milk para un elefante?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,qué tal buen día || de pura casualidad manejas veluto? || con qué gancho se teje veluto?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,"hola, perdón la molestia || no tendrás comfy mini? || de qué está hecho comfy mini?","{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,hola buenas tardes || manejara el komfy plus? || qué composición tiene komfy plus?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || vendes kurumi? || cuántos metros trae kurumi?,"{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || tendras por ahi koton milk? || cuántos gramos trae koton milk?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || de pura casualidad manejas velluto? || me sirve velluto para un amigurumi?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,qué tal buen día || no tendrás komfy mini? || me sirve komfy mini para un elefante?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,"hola, perdón la molestia || manejara el comfy plus? || con qué gancho se teje comfy plus?","{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,hola buenas tardes || vendes kurumi? || de qué está hecho kurumi?,"{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || tendras por ahi cotton milk? || qué composición tiene cotton milk?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || de pura casualidad manejas belluto? || cuántos metros trae belluto?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || no tendrás komfi mini? || cuántos gramos trae komfi mini?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,qué tal buen día || manejara el komfi plus? || me sirve komfi plus para un amigurumi?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,"hola, perdón la molestia || vendes kurumi? || me sirve kurumi para un elefante?","{""must_contain_any"": [""algodón"", ""Kurumi"", ""50"", ""gancho"", ""3"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,hola buenas tardes || tendras por ahi kotton milk? || con qué gancho se teje kotton milk?,"{""must_contain_any"": [""50"", ""80"", ""Kotton"", ""gancho"", ""acrílico"", ""3""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,buen dia disculpa || de pura casualidad manejas veluto? || de qué está hecho veluto?,"{""must_contain_any"": [""10"", ""gancho"", ""Velluto"", ""8"", ""poliéster"", ""68"", ""100""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,holaa || no tendrás konfy mini? || qué composición tiene konfy mini?,"{""must_contain_any"": [""50"", ""gancho"", ""Komfy"", ""3"", ""52"", ""poliéster""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
v53_ficha_tecnica_karina,oye una pregunta || manejara el komfy plus? || cuántos metros trae komfy plus?,"{""must_contain_any"": [""10"", ""gancho"", ""Komfy"", ""poliéster"", ""100"", ""35""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""Total agregado"", ""x1\nTotal""]}"
