case_id,category,turns,expect
00011_v42_saludo_luego_pedido_partido_2_del_55_y_3_del_60,v42_saludo_luego_pedido_partido,Hola || quiero hacer un pedido || seria de velluto || 2 del 55 y 3 del 60,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 3}], ""must_contain_any"": [""velluto"", ""55"", ""60"", ""cotiz"", ""agrego"", ""pedido""], ""must_not_contain_any"": [""Pregunta x1""]}"
00012_v42_buenos_dias_luego_lista_todos_x2_porfa,v42_buenos_dias_luego_lista,"Buenos dias || le paso mi lista || 55
60
429 || todos x2 porfa","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 2}, {""codigo"": ""429"", ""cantidad"": 2}], ""must_contain_any"": [""55"", ""60"", ""429"", ""velluto"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""Pregunta x1""]}"
00013_v42_saludo_duda_luego_pedido_dos_del_55_y_sinco_del_60,v42_saludo_duda_luego_pedido,Ola buen dia || una preguntita || quiero veluto || dos del 55 y sinco del 60,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 5}], ""must_contain_any"": [""velluto"", ""55"", ""60"", ""cotiz"", ""agrego""]}"
00014_v42_pedido_mala_escritura_cantidades_palabras_kiero_dos_del_55_i_sinco_del_60_de_belluto,v42_pedido_mala_escritura_cantidades_palabras,hola || kiero dos del 55 i sinco del 60 de belluto,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 5}], ""must_contain_any"": [""velluto"", ""55"", ""60"", ""429"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""no se"", ""no sé"", ""Pregunta x1""]}"
00015_v42_pedido_mala_escritura_cantidades_palabras_me_cotisas_trez_del_429_y_uno_del_55_de_veluto,v42_pedido_mala_escritura_cantidades_palabras,hola || me cotisas trez del 429 y uno del 55 de veluto,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""429"", ""cantidad"": 3}, {""codigo"": ""55"", ""cantidad"": 1}], ""must_contain_any"": [""velluto"", ""55"", ""60"", ""429"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""no se"", ""no sé"", ""Pregunta x1""]}"
00016_v42_pedido_mala_escritura_cantidades_palabras_ocupoo_4_d_60_y_2_d_55_vellutto,v42_pedido_mala_escritura_cantidades_palabras,hola || ocupoo 4 d 60 y 2 d 55 vellutto,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""60"", ""cantidad"": 4}, {""codigo"": ""55"", ""cantidad"": 2}], ""must_contain_any"": [""velluto"", ""55"", ""60"", ""429"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""no se"", ""no sé"", ""Pregunta x1""]}"
00017_v42_pedido_mala_escritura_cantidades_palabras_beluto_55_x_dos_60_x_3_y_429_x_uno,v42_pedido_mala_escritura_cantidades_palabras,"hola || beluto 55 x dos, 60 x 3 y 429 x uno","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 3}, {""codigo"": ""429"", ""cantidad"": 1}], ""must_contain_any"": [""velluto"", ""55"", ""60"", ""429"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""no se"", ""no sé"", ""Pregunta x1""]}"
00018_v42_pedido_mala_escritura_cantidades_palabras_me_das_1_del_55_2_del_60_3_del_429_todo_velluto,v42_pedido_mala_escritura_cantidades_palabras,hola || me das 1 del 55 2 del 60 3 del 429 todo velluto,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 1}, {""codigo"": ""60"", ""cantidad"": 2}, {""codigo"": ""429"", ""cantidad"": 3}], ""must_contain_any"": [""velluto"", ""55"", ""60"", ""429"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""no se"", ""no sé"", ""Pregunta x1""]}"
00019_v42_pedido_mala_escritura_cantidades_palabras_dame_el_blanco_dos_y_negro_cinco_de_velluto,v42_pedido_mala_escritura_cantidades_palabras,hola || dame el blanco dos y negro cinco de velluto,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 5}], ""must_contain_any"": [""velluto"", ""55"", ""60"", ""429"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""no se"", ""no sé"", ""Pregunta x1""]}"
00020_v42_pedido_mala_escritura_cantidades_palabras_ocupo_blanco_y_negro_2_y_4_de_velluto,v42_pedido_mala_escritura_cantidades_palabras,"hola || ocupo blanco y negro, 2 y 4, de velluto","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 4}], ""must_contain_any"": [""velluto"", ""55"", ""60"", ""429"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""no se"", ""no sé"", ""Pregunta x1""]}"
00021_v42_lista_extrana_whatsapp_55_x2_60x3_429_1,v42_lista_extrana_whatsapp,velluto || #55 x2 / #60x3 / 429 1,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 3}, {""codigo"": ""429"", ""cantidad"": 1}], ""must_contain_any"": [""55"", ""60"", ""429"", ""velluto"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""Pregunta x1""]}"
00022_v42_lista_extrana_whatsapp_todos_dos,v42_lista_extrana_whatsapp,"le paso lista || 55, 60, 429 || todos dos","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 2}, {""codigo"": ""429"", ""cantidad"": 2}], ""must_contain_any"": [""55"", ""60"", ""429"", ""velluto"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""Pregunta x1""]}"
00023_v42_lista_extrana_whatsapp_velluto_55_2_60_1_429_4,v42_lista_extrana_whatsapp,"buenas || velluto: 55-2, 60-1, 429-4","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 1}, {""codigo"": ""429"", ""cantidad"": 4}], ""must_contain_any"": [""55"", ""60"", ""429"", ""velluto"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""Pregunta x1""]}"
00024_v42_lista_extrana_whatsapp_55_2_60_5_429_1_no_es_total_son_piezas,v42_lista_extrana_whatsapp,"cotizacion || 55=2
60=5
429=1
(no es total son piezas)","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 5}, {""codigo"": ""429"", ""cantidad"": 1}], ""must_contain_any"": [""55"", ""60"", ""429"", ""velluto"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""Pregunta x1""]}"
00025_v42_lista_extrana_whatsapp_el_55_son_dos_los_otros_uno,v42_lista_extrana_whatsapp,"velluto || 55 55 60 429 || el 55 son dos, los otros uno","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 1}, {""codigo"": ""429"", ""cantidad"": 1}], ""must_contain_any"": [""55"", ""60"", ""429"", ""velluto"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""Pregunta x1""]}"
00026_v42_lista_extrana_whatsapp_lista_rara_jaja_2_55_3_60_1_429,v42_lista_extrana_whatsapp,me ayudas || lista rara jaja: 2*55 + 3*60 + 1*429,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 3}, {""codigo"": ""429"", ""cantidad"": 1}], ""must_contain_any"": [""55"", ""60"", ""429"", ""velluto"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""Pregunta x1""]}"
00027_v42_lista_extrana_whatsapp_55_2_60_2_429_3_todo_velluto,v42_lista_extrana_whatsapp,quiero cotisar || (55)(2) (60)(2) (429)(3) todo velluto,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 2}, {""codigo"": ""429"", ""cantidad"": 3}], ""must_contain_any"": [""55"", ""60"", ""429"", ""velluto"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""Pregunta x1""]}"
00028_v42_pedido_mixto_hilos_accesorios_mismo_mensaje_me_cotizas_2_velluto_55_3_komfy_mini_negro_y_un_relleno_medio_kilo,v42_pedido_mixto_hilos_accesorios_mismo_mensaje,"hola || me cotizas 2 velluto 55, 3 komfy mini negro y un relleno medio kilo","{""scope"": ""all"", ""must_contain_any"": [""55"", ""komfy"", ""relleno"", ""cotiz"", ""agrego"", ""revis"", ""pedido""], ""must_not_contain_any"": [""Si x5"", ""4 x1"", ""Pregunta x1""]}"
00029_v42_pedido_mixto_hilos_accesorios_mismo_mensaje_velluto_55_x2_komfy_mini_01_x4_ojos_de_seguridad_14mm_bolsa_de_100,v42_pedido_mixto_hilos_accesorios_mismo_mensaje,"pedido || velluto 55 x2, komfy mini 01 x4, ojos de seguridad 14mm bolsa de 100","{""scope"": ""all"", ""must_contain_any"": [""55"", ""komfy"", ""ojo"", ""seguridad"", ""cotiz"", ""agrego"", ""revis"", ""pedido""], ""must_not_contain_any"": [""Si x5"", ""4 x1"", ""Pregunta x1""]}"
00030_v42_pedido_mixto_hilos_accesorios_mismo_mensaje_quiero_3_del_60_de_velluto_y_tambien_gancho_4_5_si_tienes,v42_pedido_mixto_hilos_accesorios_mismo_mensaje,buenas || quiero 3 del 60 de velluto y tambien gancho 4.5 si tienes,"{""scope"": ""all"", ""must_contain_any"": [""60"", ""gancho"", ""4.5"", ""cotiz"", ""agrego"", ""revis"", ""pedido""], ""must_not_contain_any"": [""Si x5"", ""4 x1"", ""Pregunta x1""]}"
00031_v42_pedido_mixto_hilos_accesorios_mismo_mensaje_2_del_55_velluto_1_relleno_ojos_negros_12_mm_bolsa,v42_pedido_mixto_hilos_accesorios_mismo_mensaje,hola || 2 del 55 velluto + 1 relleno + ojos negros 12 mm bolsa,"{""scope"": ""all"", ""must_contain_any"": [""55"", ""relleno"", ""ojo"", ""cotiz"", ""agrego"", ""revis"", ""pedido""], ""must_not_contain_any"": [""Si x5"", ""4 x1"", ""Pregunta x1""]}"
00032_v42_pedido_mixto_hilos_accesorios_mismo_mensaje_komfy_mini_99_dos_piezas_y_velluto_429_tres_piezas_envio_al_97000,v42_pedido_mixto_hilos_accesorios_mismo_mensaje,"buenas tardes || komfy mini 99 dos piezas y velluto 429 tres piezas, envio al 97000","{""scope"": ""all"", ""must_contain_any"": [""komfy"", ""99"", ""429"", ""97000"", ""cotiz"", ""agrego"", ""revis"", ""pedido""], ""must_not_contain_any"": [""Si x5"", ""4 x1"", ""Pregunta x1""]}"
00033_v42_pedido_mixto_hilos_accesorios_mismo_mensaje_kurumi_rosa_2_velluto_55_1_gancho_del_5_uno,v42_pedido_mixto_hilos_accesorios_mismo_mensaje,"me puede cotizar || kurumi rosa 2, velluto 55 1, gancho del 5 uno","{""scope"": ""all"", ""must_contain_any"": [""kurumi"", ""velluto"", ""gancho"", ""cotiz"", ""agrego"", ""revis"", ""pedido""], ""must_not_contain_any"": [""Si x5"", ""4 x1"", ""Pregunta x1""]}"
00034_v42_correcciones_quitar_poner_no_duplicar_del_55_dejame_solo_2,v42_correcciones_quitar_poner_no_duplicar,velluto || ponme 5 del 55 y 3 del 60 || quita el 60 || del 55 dejame solo 2,"{""scope"": ""all"", ""must_contain_any"": [""quito"", ""actualiz"", ""55"", ""2""], ""must_not_contain_any"": [""marcado como pagado"", ""descuento aprobado"", ""se lo aparto seguro""]}"
00035_v42_correcciones_quitar_poner_no_duplicar_y_agrega_1_del_60,v42_correcciones_quitar_poner_no_duplicar,pedido velluto || 2 del 55 || perdon eran 4 del 55 || y agrega 1 del 60,"{""scope"": ""all"", ""must_contain_any"": [""actualiz"", ""55"", ""4"", ""60""], ""must_not_contain_any"": [""marcado como pagado"", ""descuento aprobado"", ""se lo aparto seguro""]}"
00036_v42_correcciones_quitar_poner_no_duplicar_no_mejor_quitalo_y_ponme_2_del_60,v42_correcciones_quitar_poner_no_duplicar,"quiero 3 del 429 || no, mejor quitalo y ponme 2 del 60","{""scope"": ""all"", ""must_contain_any"": [""quito"", ""actualiz"", ""60"", ""2""], ""must_not_contain_any"": [""marcado como pagado"", ""descuento aprobado"", ""se lo aparto seguro""]}"
00037_v42_correcciones_quitar_poner_no_duplicar_agrega_429_x3_y_quita_uno_del_55,v42_correcciones_quitar_poner_no_duplicar,velluto 55 x2 y 60 x2 || agrega 429 x3 y quita uno del 55,"{""scope"": ""all"", ""must_contain_any"": [""actualiz"", ""429"", ""3"", ""55""], ""must_not_contain_any"": [""marcado como pagado"", ""descuento aprobado"", ""se lo aparto seguro""]}"
00038_v42_correcciones_quitar_poner_no_duplicar_mejor_quita_todo_komfy_y_pon_velluto_55_x2,v42_correcciones_quitar_poner_no_duplicar,komfy mini 01 x3 || mejor quita todo komfy y pon velluto 55 x2,"{""scope"": ""all"", ""must_contain_any"": [""quito"", ""velluto"", ""55"", ""2""], ""must_not_contain_any"": [""marcado como pagado"", ""descuento aprobado"", ""se lo aparto seguro""]}"
00039_v42_correcciones_quitar_poner_no_duplicar_mejor_no_apartes_solo_cotizame_5,v42_correcciones_quitar_poner_no_duplicar,"me apartas 10 del 55? || mejor no apartes, solo cotizame 5","{""scope"": ""all"", ""must_contain_any"": [""cotiz"", ""55"", ""5"", ""revis""], ""must_not_contain_any"": [""marcado como pagado"", ""descuento aprobado"", ""se lo aparto seguro""]}"
00040_v42_correcciones_quitar_poner_no_duplicar_corrijo_era_el_60_no_el_55,v42_correcciones_quitar_poner_no_duplicar,"quiero velluto 55 2 || corrijo era el 60, no el 55","{""scope"": ""all"", ""must_contain_any"": [""corrijo"", ""60"", ""55""], ""must_not_contain_any"": [""marcado como pagado"", ""descuento aprobado"", ""se lo aparto seguro""]}"
00041_v42_cliente_valida_total_piezas_serian_15_piezas_verdad,v42_cliente_valida_total_piezas,velluto || 5 del 55 y 10 del 60 || serian 15 piezas verdad?,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 5}, {""codigo"": ""60"", ""cantidad"": 10}], ""must_contain_all"": [""15""], ""must_contain_any"": [""piezas"", ""si"", ""sí"", ""correcto""]}"
00042_v42_cliente_corrige_total_no_producto_entonces_son_4_en_total_no,v42_cliente_corrige_total_no_producto,velluto || 2 del 55 y 2 del 60 || entonces son 4 en total no?,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 2}], ""must_contain_any"": [""4"", ""total"", ""piezas"", ""correcto"", ""si"", ""sí""], ""must_not_contain_any"": [""Total No x1"", ""No x1""]}"
00043_v42_total_dinero_no_codigo_me_sale_como_en_300_verdad,v42_total_dinero_no_codigo,me llevo 5 del 55 || me sale como en 300 verdad?,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 5}], ""must_contain_any"": [""300"", ""total"", ""aprox"", ""cotiz"", ""confirm""], ""must_not_contain_any"": [""300 x1""]}"
00044_v42_envio_cp_dentro_de_mensaje_cuanto_seria_con_envio,v42_envio_cp_dentro_de_mensaje,velluto 55 x5 y 60 x5 cp 97000 || cuanto seria con envio?,"{""scope"": ""all"", ""must_contain_any"": [""envio"", ""envío"", ""cp"", ""97000"", ""03910"", ""57000"", ""revis"", ""confirm"", ""cotiz""], ""must_not_contain_any"": [""gratis seguro"", ""envío gratis seguro"", ""se lo dejo""]}"
00045_v42_envio_cp_dentro_de_mensaje_aun_no_hago_pedido_solo_quiero_saber,v42_envio_cp_dentro_de_mensaje,hola || envias a 03910? || aun no hago pedido solo quiero saber,"{""scope"": ""all"", ""must_contain_any"": [""envio"", ""envío"", ""cp"", ""97000"", ""03910"", ""57000"", ""revis"", ""confirm"", ""cotiz""], ""must_not_contain_any"": [""gratis seguro"", ""envío gratis seguro"", ""se lo dejo""]}"
00046_v42_envio_cp_dentro_de_mensaje_cuanto_total,v42_envio_cp_dentro_de_mensaje,quiero 2 del 55 || mi cp es 97000 merida yucatan || cuanto total?,"{""scope"": ""all"", ""must_contain_any"": [""envio"", ""envío"", ""cp"", ""97000"", ""03910"", ""57000"", ""revis"", ""confirm"", ""cotiz""], ""must_not_contain_any"": [""gratis seguro"", ""envío gratis seguro"", ""se lo dejo""]}"
00047_v42_envio_cp_dentro_de_mensaje_envio_a_nezahualcoyotl_cp_57000,v42_envio_cp_dentro_de_mensaje,me cotizas 1 relleno y 2 velluto 60 || envio a nezahualcoyotl cp 57000,"{""scope"": ""all"", ""must_contain_any"": [""envio"", ""envío"", ""cp"", ""97000"", ""03910"", ""57000"", ""revis"", ""confirm"", ""cotiz""], ""must_not_contain_any"": [""gratis seguro"", ""envío gratis seguro"", ""se lo dejo""]}"
00048_v42_envio_cp_dentro_de_mensaje_envio_gratis_o_como_queda_al_97000,v42_envio_cp_dentro_de_mensaje,si compro 20 madejas || envio gratis o como queda al 97000?,"{""scope"": ""all"", ""must_contain_any"": [""envio"", ""envío"", ""cp"", ""97000"", ""03910"", ""57000"", ""revis"", ""confirm"", ""cotiz""], ""must_not_contain_any"": [""gratis seguro"", ""envío gratis seguro"", ""se lo dejo""]}"
00049_v42_pago_comprobante_no_marcar_solo_me_confirmas_si_lleg,v42_pago_comprobante_no_marcar_solo,ya pague || te mando el comprobante || me confirmas si llegó?,"{""scope"": ""all"", ""must_contain_any"": [""comprobante"", ""revis"", ""confirm""], ""must_not_contain_any"": [""marcado como pagado"", ""ya quedó pagado"", ""pago confirmado"", ""le aparto seguro""]}"
00050_v42_pago_comprobante_no_marcar_solo_me_guardas_mi_pedido,v42_pago_comprobante_no_marcar_solo,te pago en la noche || me guardas mi pedido?,"{""scope"": ""all"", ""must_contain_any"": [""revis"", ""confirm"", ""cotiz"", ""pago""], ""must_not_contain_any"": [""marcado como pagado"", ""ya quedó pagado"", ""pago confirmado"", ""le aparto seguro""]}"
00051_v42_pago_comprobante_no_marcar_solo_es_para_depositar_hoy,v42_pago_comprobante_no_marcar_solo,me puedes pasar datos de pago? || es para depositar hoy,"{""scope"": ""all"", ""must_contain_any"": [""datos"", ""pago"", ""transfer"", ""cuenta"", ""revis"", ""confirm""], ""must_not_contain_any"": [""marcado como pagado"", ""ya quedó pagado"", ""pago confirmado"", ""le aparto seguro""]}"
00052_v42_pago_comprobante_no_marcar_solo_si_se_ve,v42_pago_comprobante_no_marcar_solo,ya mande foto del comprobante || si se ve?,"{""scope"": ""all"", ""must_contain_any"": [""comprobante"", ""revis"", ""confirm""], ""must_not_contain_any"": [""marcado como pagado"", ""ya quedó pagado"", ""pago confirmado"", ""le aparto seguro""]}"
00053_v42_pago_comprobante_no_marcar_solo_puedo_pagar_al_recibir,v42_pago_comprobante_no_marcar_solo,solo tengo efectivo || puedo pagar al recibir?,"{""scope"": ""all"", ""must_contain_any"": [""revis"", ""confirm"", ""pago"", ""opcion""], ""must_not_contain_any"": [""marcado como pagado"", ""ya quedó pagado"", ""pago confirmado"", ""le aparto seguro""]}"
00054_v42_decision_comercial_requiere_humano_si_llevo_30_vellutos_me_mejoras_precio,v42_decision_comercial_requiere_humano,si llevo 30 vellutos me mejoras precio?,"{""scope"": ""all"", ""must_contain_any"": [""revis"", ""confirm"", ""opcion"", ""cotiz"", ""pago"", ""precio""], ""must_not_contain_any"": [""descuento aprobado"", ""se lo dejo"", ""envio gratis seguro"", ""le aparto seguro"", ""apartado confirmado""]}"
00055_v42_decision_comercial_requiere_humano_me_das_precio_especial,v42_decision_comercial_requiere_humano,soy mayorista || quiero 100 piezas mezcladas || me das precio especial?,"{""scope"": ""all"", ""must_contain_any"": [""revis"", ""confirm"", ""opcion"", ""cotiz"", ""pago"", ""precio""], ""must_not_contain_any"": [""descuento aprobado"", ""se lo dejo"", ""envio gratis seguro"", ""le aparto seguro"", ""apartado confirmado""]}"
00056_v42_decision_comercial_requiere_humano_me_apartas_20_del_60_y_te_pago_ma_ana,v42_decision_comercial_requiere_humano,me apartas 20 del 60 y te pago mañana,"{""scope"": ""all"", ""must_contain_any"": [""revis"", ""confirm"", ""opcion"", ""cotiz"", ""pago"", ""precio""], ""must_not_contain_any"": [""descuento aprobado"", ""se lo dejo"", ""envio gratis seguro"", ""le aparto seguro"", ""apartado confirmado""]}"
00057_v42_decision_comercial_requiere_humano_si_pago_ahorita_me_das_envio_gratis,v42_decision_comercial_requiere_humano,si pago ahorita me das envio gratis?,"{""scope"": ""all"", ""must_contain_any"": [""revis"", ""confirm"", ""opcion"", ""cotiz"", ""pago"", ""precio""], ""must_not_contain_any"": [""descuento aprobado"", ""se lo dejo"", ""envio gratis seguro"", ""le aparto seguro"", ""apartado confirmado""]}"
00058_v42_decision_comercial_requiere_humano_cuanto_es_lo_menos_por_50_madejas_de_velluto,v42_decision_comercial_requiere_humano,cuanto es lo menos por 50 madejas de velluto?,"{""scope"": ""all"", ""must_contain_any"": [""revis"", ""confirm"", ""opcion"", ""cotiz"", ""pago"", ""precio""], ""must_not_contain_any"": [""descuento aprobado"", ""se lo dejo"", ""envio gratis seguro"", ""le aparto seguro"", ""apartado confirmado""]}"
00059_v42_foto_tono_catalogo_no_agregar_me_muestras_foto_del_55,v42_foto_tono_catalogo_no_agregar,me muestras foto del 55?,"{""scope"": ""all"", ""must_contain_any"": [""foto"", ""imagen"", ""tono"", ""catalogo"", ""catálogo"", ""muestro"", ""mando"", ""revis""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""total agregado"", ""x1"", ""x2""]}"
00060_v42_foto_tono_catalogo_no_agregar_tienes_imagen_del_tono_429,v42_foto_tono_catalogo_no_agregar,tienes imagen del tono 429?,"{""scope"": ""all"", ""must_contain_any"": [""foto"", ""imagen"", ""tono"", ""catalogo"", ""catálogo"", ""muestro"", ""mando"", ""revis""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""total agregado"", ""x1"", ""x2""]}"
00061_v42_foto_tono_catalogo_no_agregar_quiero_ver_el_color_60_antes_de_pedir,v42_foto_tono_catalogo_no_agregar,quiero ver el color 60 antes de pedir,"{""scope"": ""all"", ""must_contain_any"": [""foto"", ""imagen"", ""tono"", ""catalogo"", ""catálogo"", ""muestro"", ""mando"", ""revis""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""total agregado"", ""x1"", ""x2""]}"
00062_v42_foto_tono_catalogo_no_agregar_me_mandas_catalogo_de_velluto_completo,v42_foto_tono_catalogo_no_agregar,me mandas catalogo de velluto completo?,"{""scope"": ""all"", ""must_contain_any"": [""foto"", ""imagen"", ""tono"", ""catalogo"", ""catálogo"", ""muestro"", ""mando"", ""revis""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""total agregado"", ""x1"", ""x2""]}"
00063_v42_foto_tono_catalogo_no_agregar_quiero_foto_de_los_ojos_14mm,v42_foto_tono_catalogo_no_agregar,quiero foto de los ojos 14mm,"{""scope"": ""all"", ""must_contain_any"": [""foto"", ""imagen"", ""tono"", ""catalogo"", ""catálogo"", ""muestro"", ""mando"", ""revis""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""le agrego"", ""total agregado"", ""x1"", ""x2""]}"
