category,turns_json,expect_json
v39_recomendacion_amigurumi_ojitos,"[""quiero hacer un osito de 20 cm"", ""quiero que quede suave pero no tan caro"", ""también ocuparía ojos de seguridad""]","{""scope"": ""all"", ""must_contain_any"": [""komfy"", ""amigurumi"", ""suave"", ""ojos"", ""seguridad""], ""must_not_only_ask_hilo_codigo"": true}"
v39_recomendacion_definicion_vs_suave,"[""qué me conviene para amigurumi chiquito?"", ""quiero que se marque bien el punto no tan pachon""]","{""scope"": ""all"", ""must_contain_any"": [""kurumi"", ""definición"", ""definicion"", ""punto"", ""amigurumi""], ""must_not_contain_any"": [""no se""]}"
v39_confirmacion_todo_es_velluto,"[""buenas tardes le paso lista"", ""60\n310\n107\n329\n466\n26\n87"", ""perdón todo eso sería de belluto""]","{""scope"": ""final"", ""must_contain_any"": [""velluto"", ""lista"", ""tomo"", ""confirm"", ""60"", ""310""], ""must_not_contain_any"": [""Perdon Todo Eso Seria x1"", ""Me confirma si quiere perdon""]}"
v39_confirmacion_contexto_despues_lista_sin_hilo,"[""te mando códigos"", ""55 60 429 530"", ""todos son velluto porfa""]","{""scope"": ""final"", ""must_contain_any"": [""velluto"", ""55"", ""60"", ""429"", ""530"", ""tomo"", ""lista""], ""must_not_contain_any"": [""Todos Son Velluto x1""]}"
v39_pedido_cantidades_en_palabras,"[""quiero velluto"", ""dos del 55 y cinco del 60""]","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 5}], ""must_contain_any"": [""55"", ""60"", ""2"", ""5"", ""velluto""]}"
v39_pedido_todos_x2,"[""velluto por favor"", ""55, 60, 429 todos x2""]","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 2}, {""codigo"": ""429"", ""cantidad"": 2}], ""must_contain_any"": [""55"", ""60"", ""429"", ""x2"", ""2""]}"
v39_pedido_formato_invertido,"[""me cotiza velluto"", ""55 x 3\n60 x 2\n429 x 1""]","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 3}, {""codigo"": ""60"", ""cantidad"": 2}, {""codigo"": ""429"", ""cantidad"": 1}], ""must_contain_any"": [""55"", ""60"", ""429""]}"
v39_pedido_color_alias,"[""quiero komfy mini"", ""3 negros y 2 blancos""]","{""scope"": ""all"", ""must_contain_any"": [""komfy"", ""negro"", ""blanco"", ""3"", ""2""], ""must_not_only_ask_hilo_codigo"": true}"
v39_pedido_codigos_ambiguuos_con_contexto,"[""komfy mini porfa"", ""2 del 1 y 2 del 99""]","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""1"", ""cantidad"": 2}, {""codigo"": ""99"", ""cantidad"": 2}], ""must_contain_any"": [""komfy"", ""99"", ""1""]}"
v39_cambio_hilo_a_mitad,"[""quiero velluto"", ""2 del 55"", ""mejor ese no, ahora quiero komfy mini"", ""2 del 01 y 2 del 99""]","{""scope"": ""all"", ""must_contain_any"": [""komfy"", ""01"", ""99""], ""must_not_contain_any"": [""Velluto 01"", ""Velluto 99""]}"
v39_correccion_no_duplicar,"[""velluto"", ""10 del 60"", ""perdón no eran 10 eran 2""]","{""scope"": ""final"", ""must_contain_any"": [""2"", ""60"", ""corrijo"", ""actualizo""], ""must_not_contain_any"": [""20 piezas"", ""12 piezas""]}"
v39_quitar_producto,"[""velluto"", ""2 del 55 y 2 del 60"", ""quita el 60 mejor""]","{""scope"": ""final"", ""must_contain_any"": [""quito"", ""60"", ""actualizo""], ""must_not_contain_any"": [""agrego""]}"
v39_agregar_accesorio_a_pedido,"[""quiero velluto"", ""2 del 55"", ""agrega también un gancho del 5 si tienes""]","{""scope"": ""all"", ""must_contain_any"": [""gancho"", ""5"", ""agrego"", ""revis"", ""cotiz""], ""must_not_only_ask_hilo_codigo"": true}"
v39_envio_cp_con_pedido_activo,"[""quiero velluto"", ""5 del 55 y 5 del 60"", ""cuanto sería con envío al cp 97000""]","{""scope"": ""final"", ""must_contain_any"": [""97000"", ""envío"", ""envio"", ""reviso"", ""manual"", ""paquetería"", ""paqueteria""], ""must_not_contain_any"": [""97000 x1""]}"
v39_envio_cp_sin_pedido,"[""hola"", ""cuánto sale el envío al 97000?""]","{""scope"": ""final"", ""must_contain_any"": [""97000"", ""envío"", ""envio"", ""pedido"", ""paquetería"", ""paqueteria"", ""reviso""], ""must_not_contain_any"": [""97000 x1""]}"
v39_descuento_no_aprobar,"[""quiero 20 velluto surtidos"", ""me mejoras precio si llevo todo eso?""]","{""scope"": ""final"", ""must_contain_any"": [""reviso"", ""confirmo"", ""mejor opción"", ""opcion""], ""must_not_contain_any"": [""descuento aprobado"", ""se lo dejo"", ""$55""]}"
v39_no_manejado_abuelita_recomienda,"[""manejas estambre la abuelita?"", ""si no tienes cuál me recomiendas parecido?""]","{""scope"": ""all"", ""must_contain_any"": [""no"", ""manejo"", ""recom"", ""opción"", ""opcion"", ""kurumi"", ""kotton"", ""komfy""], ""must_not_only_ask_hilo_codigo"": true}"
v39_catalogo_vs_pedido,"[""me mandas la carta de colores de velluto"", ""y luego te paso pedido""]","{""scope"": ""all"", ""must_contain_any"": [""carta"", ""gama"", ""colores"", ""velluto""], ""must_not_contain_any"": [""Carta De Colores x1"", ""pedido x1""]}"
v39_foto_tono_no_agregar,"[""me pasas foto del tono 429 de velluto?"", ""y también del 60""]","{""scope"": ""all"", ""must_contain_any"": [""foto"", ""429"", ""60"", ""tono""], ""must_not_contain_any"": [""agrego"", ""Total agregado""]}"
v39_cliente_manda_total_para_validar,"[""velluto"", ""5 del 55 y 10 del 60"", ""serían 15 piezas verdad?""]","{""scope"": ""final"", ""must_contain_any"": [""15"", ""piezas"", ""sí"", ""si"", ""correcto""], ""must_not_contain_any"": [""15 x1"", ""mejoras precio""]}"
v39_lista_con_ruido_whatsapp,"[""[10:33 a. m., 2/7/2026] Cliente: hola"", ""[10:34 a. m., 2/7/2026] Cliente: velluto 55 x2; 60 x3""]","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""55"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 3}], ""must_not_contain_any"": [""2026 x1"", ""1033 x1""]}"
v39_codigo_inexistente_sugerir,"[""velluto"", ""2 del 9999""]","{""scope"": ""final"", ""must_contain_any"": [""9999"", ""no"", ""aparece"", ""confirm"", ""parecid"", ""opción"", ""opcion""], ""must_not_contain_any"": [""agrego""]}"
v39_stock_insuficiente,"[""velluto"", ""quiero 999 del 60""]","{""scope"": ""final"", ""must_contain_any"": [""60"", ""stock"", ""disponible"", ""reviso"", ""no me aparece"", ""piezas""], ""must_not_contain_any"": [""Total agregado: 999""]}"
v39_pedido_mixto_hilos_diferentes,"[""me cotizas"", ""velluto 55 x2"", ""komfy mini 99 x3"", ""y trapillo negro 1""]","{""scope"": ""all"", ""must_contain_any"": [""velluto"", ""komfy"", ""trapillo"", ""55"", ""99"", ""negro""], ""must_not_only_ask_hilo_codigo"": true}"
v39_cliente_escribe_todo_junto,"[""holaaa quiero3del55 y2del60 de belluto""]","{""scope"": ""all"", ""must_contain_any"": [""55"", ""60"", ""velluto"", ""3"", ""2""], ""must_not_contain_any"": [""Holaaa Quiero""]}"
v39_producto_y_uso_no_precio,"[""velluto pica?"", ""es para cobija de bebé""]","{""scope"": ""all"", ""must_contain_any"": [""velluto"", ""suave"", ""bebé"", ""bebe"", ""cobija""], ""must_not_only_ask_hilo_codigo"": true}"
v39_datos_pago,"[""ya pagué"", ""te mando el comprobante ahorita"", ""me confirmas si llegó?""]","{""scope"": ""all"", ""must_contain_any"": [""comprobante"", ""pago"", ""reviso"", ""confirmo"", ""llegó"", ""llego""], ""must_not_only_ask_hilo_codigo"": true}"
v39_mayorista_no_precio_autorizado,"[""manejas precio de mayoreo?"", ""serían como 100 piezas surtidas de velluto""]","{""scope"": ""all"", ""must_contain_any"": [""mayoreo"", ""reviso"", ""confirmo"", ""velluto""], ""must_not_contain_any"": [""descuento aprobado"", ""se lo dejo""]}"
v39_apartar_no_prometer,"[""me apartas 10 del 55?"", ""te pago en la noche""]","{""scope"": ""final"", ""must_contain_any"": [""reviso"", ""confirmo"", ""pago"", ""cotización"", ""cotizacion""], ""must_not_contain_any"": [""le aparto"", ""apartado"", ""apartar confirmado""]}"
v39_mensaje_largo_cliente_real,"[""Hola buenas noches, disculpa tanta molestia, quiero hacer unas vaquitas amigurumi, necesito blanco, negro, rosa para nariz y algo café, pero que no me salga carísimo, y también ojitos. Qué me recomiendas?""]","{""scope"": ""final"", ""must_contain_any"": [""amigurumi"", ""blanco"", ""negro"", ""rosa"", ""café"", ""cafe"", ""ojitos"", ""komfy"", ""kurumi""], ""must_not_contain_any"": [""no se"", ""Pregunta x1""]}"
v39_confirmacion_si_a_pregunta_de_cantidad,"[""tienes velluto negro?"", ""sí, 5""]","{""scope"": ""all"", ""must_contain_any"": [""velluto"", ""negro"", ""5""], ""must_not_contain_any"": [""Sí X1"", ""Si x1""]}"
